team,res,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,stl,blk,tov,pf
OKC,L,100,42,95,44.2,7,35,20,9,14,64.3,12,39,51,22,7,2,10,19
NYK,L,113,39,86,45.3,12,29,41.4,23,25,92,13,34,47,20,9,0,12,20
TOR,W,107,37,90,41.1,15,35,42.9,18,26,69.2,12,33,45,24,12,8,16,18
MIL,W,129,50,91,54.9,10,31,32.3,19,27,70.4,16,36,52,32,4,2,16,16
CLE,L,103,34,85,40,10,33,30.3,25,34,73.5,11,23,34,24,10,8,17,23
SAS,W,121,48,96,50,15,31,48.4,10,11,90.9,5,39,44,27,11,5,8,14
POR,W,116,39,83,47,17,46,37,21,23,91.3,9,30,39,19,5,8,11,16
ORL,L,104,39,87,44.8,17,38,44.7,9,13,69.2,11,32,43,27,4,4,15,18
DAL,L,108,37,83,44.6,5,25,20,29,40,72.5,10,26,36,15,7,4,10,23
PHX,L,112,41,102,40.2,16,53,30.2,14,18,77.8,7,43,50,26,8,4,9,31
GSW,L,108,42,93,45.2,14,39,35.9,10,15,66.7,4,31,35,30,6,8,11,21
NOP,L,110,40,87,46,10,33,30.3,20,28,71.4,10,32,42,21,5,4,20,24
BKN,W,128,44,83,53,19,37,51.4,21,26,80.8,9,38,47,34,0,6,16,26
CHI,L,90,33,84,39.3,8,25,32,16,22,72.7,10,35,45,18,8,1,18,28
PHI,W,114,38,83,45.8,8,23,34.8,30,38,78.9,12,37,49,14,10,7,15,24
MIN,W,120,39,91,42.9,12,34,35.3,30,37,81.1,14,36,50,23,14,4,11,22
DEN,W,120,40,97,41.2,15,36,41.7,25,32,78.1,12,53,65,22,4,3,16,20
UTA,W,127,45,94,47.9,20,50,40,17,22,77.3,14,43,57,28,6,4,16,20
LAL,W,101,36,79,45.6,4,19,21.1,25,31,80.6,5,37,42,20,7,4,18,18
HOU,W,133,47,86,54.7,16,37,43.2,23,29,79.3,13,39,52,28,5,5,14,28
MIA,L,124,42,89,47.2,13,46,28.3,27,32,84.4,2,29,31,29,7,1,8,23
DET,L,110,37,86,43,14,33,42.4,22,30,73.3,8,35,43,25,9,8,15,28
NYK,L,94,36,94,38.3,5,22,22.7,17,25,68,16,41,57,19,2,6,11,21
DEN,W,130,53,103,51.5,6,26,23.1,18,19,94.7,10,33,43,32,12,1,9,15
PHI,W,122,45,81,55.6,12,28,42.9,20,24,83.3,10,35,45,23,9,7,19,23
ORL,L,118,43,94,45.7,17,37,45.9,15,24,62.5,13,36,49,29,7,3,14,14
DET,L,102,31,82,37.8,15,32,46.9,25,37,67.6,14,41,55,17,5,8,19,21
TOR,W,101,39,84,46.4,17,40,42.5,6,9,66.7,12,33,45,22,11,3,21,16
LAC,W,120,43,84,51.2,10,33,30.3,24,25,96,9,39,48,21,8,7,13,19
MIN,L,98,40,93,43,8,32,25,10,12,83.3,10,30,40,30,14,8,13,21
BKN,L,113,42,87,48.3,14,43,32.6,15,17,88.2,6,23,29,23,5,8,11,25
HOU,W,103,37,95,38.9,14,41,34.1,15,20,75,14,37,51,24,7,11,14,28
DAL,W,122,45,93,48.4,14,39,35.9,18,20,90,7,35,42,23,3,2,5,21
PHX,L,126,47,94,50,17,44,38.6,15,15,100,9,36,45,30,7,4,16,23
BOS,L,110,41,90,45.6,12,30,40,16,20,80,10,22,32,23,10,5,11,21
MIA,L,81,33,77,42.9,7,31,22.6,8,10,80,4,28,32,19,13,4,19,14
SAC,W,103,38,91,41.8,12,34,35.3,15,21,71.4,12,43,55,21,6,14,6,25
SAS,L,117,41,89,46.1,12,28,42.9,23,30,76.7,9,40,49,21,3,5,7,18
ATL,W,116,38,83,45.8,15,35,42.9,25,30,83.3,13,42,55,21,9,12,16,16
CHI,W,123,49,96,51,15,43,34.9,10,12,83.3,15,28,43,33,11,4,14,21
CHA,L,110,42,85,49.4,7,32,21.9,19,25,76,12,34,46,22,8,1,21,12
CLE,W,125,45,87,51.7,8,25,32,27,32,84.4,13,37,50,24,7,3,12,18
IND,W,120,46,93,49.5,12,34,35.3,16,18,88.9,8,36,44,28,9,5,10,19
OKC,L,106,41,87,47.1,14,42,33.3,10,13,76.9,4,25,29,24,8,1,11,21
MIL,L,106,44,87,50.6,9,28,32.1,9,12,75,5,41,46,27,5,5,14,18
UTA,W,129,44,88,50,17,39,43.6,24,25,96,8,31,39,27,8,8,15,27
NYK,W,119,38,82,46.3,11,24,45.8,32,41,78,11,44,55,24,5,9,11,29
NOP,L,118,42,85,49.4,11,25,44,23,30,76.7,10,31,41,27,9,2,17,19
LAL,W,113,41,88,46.6,19,37,51.4,12,15,80,6,32,38,25,8,8,10,14
GSW,L,104,33,86,38.4,9,38,23.7,29,39,74.4,9,37,46,27,5,3,10,26
CLE,W,147,56,109,51.4,20,40,50,15,21,71.4,12,38,50,29,10,6,14,21
LAC,W,115,41,86,47.7,16,35,45.7,17,18,94.4,6,42,48,24,14,6,16,15
HOU,L,103,37,88,42,10,31,32.3,19,22,86.4,7,32,39,17,11,5,16,19
BKN,L,135,48,106,45.3,15,41,36.6,24,27,88.9,13,39,52,30,8,11,16,24
MIA,W,111,39,80,48.8,18,40,45,15,17,88.2,8,38,46,29,4,5,18,19
DET,L,115,44,97,45.4,10,31,32.3,17,19,89.5,7,35,42,22,9,3,13,28
SAS,L,99,35,94,37.2,4,33,12.1,25,31,80.6,12,31,43,17,7,2,10,15
GSW,W,121,46,91,50.5,15,38,39.5,14,20,70,10,44,54,31,6,2,14,22
PHI,W,117,36,78,46.2,9,27,33.3,36,45,80,11,30,41,20,12,3,9,20
MIN,L,96,36,85,42.4,15,35,42.9,9,14,64.3,8,35,43,25,5,12,13,20
ORL,W,97,36,92,39.1,10,31,32.3,15,21,71.4,13,35,48,26,5,8,11,17
TOR,L,102,35,88,39.8,16,49,32.7,16,18,88.9,12,29,41,27,8,3,12,21
SAC,L,96,39,86,45.3,13,28,46.4,5,12,41.7,4,35,39,25,11,4,18,15
BOS,L,109,42,89,47.2,12,33,36.4,13,20,65,10,35,45,22,3,0,16,29
DAL,W,124,51,97,52.6,8,27,29.6,14,17,82.4,9,40,49,32,5,6,8,17
ATL,W,123,44,100,44,9,23,39.1,26,38,68.4,23,40,63,21,6,10,13,15
PHX,W,109,42,89,47.2,8,34,23.5,17,19,89.5,8,37,45,25,6,11,17,21
IND,L,112,41,92,44.6,16,39,41,14,21,66.7,8,30,38,21,6,3,10,20
OKC,L,101,36,86,41.9,14,43,32.6,15,23,65.2,9,32,41,22,8,4,19,15
DEN,W,119,46,105,43.8,14,42,33.3,13,14,92.9,18,40,58,29,11,3,14,22
NOP,L,102,43,95,45.3,6,26,23.1,10,15,66.7,10,28,38,17,8,3,8,15
UTA,W,118,43,85,50.6,21,47,44.7,11,17,64.7,11,43,54,28,4,7,14,17
DET,L,107,38,82,46.3,13,37,35.1,18,24,75,10,22,32,24,8,3,16,23
CHI,W,125,43,92,46.7,20,45,44.4,19,21,90.5,10,37,47,23,10,3,17,19
ATL,W,108,37,79,46.8,11,28,39.3,23,25,92,7,41,48,32,15,8,24,17
MIN,L,97,36,91,39.6,14,37,37.8,11,16,68.8,9,30,39,22,16,6,18,21
POR,L,104,39,90,43.3,10,35,28.6,16,19,84.2,8,26,34,20,9,6,13,15
BKN,W,125,46,84,54.8,15,31,48.4,18,21,85.7,7,42,49,26,2,5,17,19
