team,res,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,stl,blk,tov,pf
CHA,L,107,37,93,39.8,13,32,40.6,20,32,62.5,13,34,47,27,11,8,13,22
PHI,W,109,41,88,46.6,11,31,35.5,16,22,72.7,12,35,47,20,9,6,12,19
CHI,L,106,34,91,37.4,16,39,41,22,25,88,13,28,41,23,7,7,20,16
SAS,W,119,47,100,47,14,34,41.2,11,16,68.8,14,39,53,36,4,3,16,20
SAC,W,106,39,86,45.3,5,23,21.7,23,33,69.7,15,41,56,20,4,9,18,22
OKC,W,109,40,88,45.5,10,36,27.8,19,24,79.2,9,45,54,25,10,7,16,21
IND,W,125,52,93,55.9,9,26,34.6,12,19,63.2,9,40,49,34,15,4,16,26
DAL,L,115,41,83,49.4,13,32,40.6,20,26,76.9,3,24,27,20,13,3,9,22
GSW,L,99,34,99,34.3,10,45,22.2,21,25,84,10,33,43,14,5,6,11,22
BOS,L,95,37,98,37.8,8,27,29.6,13,19,68.4,20,27,47,23,6,5,15,27
NOP,L,98,31,78,39.7,10,35,28.6,26,33,78.8,11,30,41,18,8,2,19,20
LAC,W,121,41,74,55.4,19,38,50,20,24,83.3,9,29,38,32,9,4,18,32
MIA,W,111,38,75,50.7,16,37,43.2,19,23,82.6,4,31,35,29,11,2,17,25
LAL,W,138,51,91,56,19,39,48.7,17,24,70.8,17,36,53,33,9,4,16,23
BKN,W,123,41,76,53.9,15,29,51.7,26,31,83.9,9,34,43,21,5,10,15,22
MIL,W,138,50,90,55.6,20,36,55.6,18,26,69.2,11,49,60,25,6,4,17,17
DEN,L,108,37,81,45.7,11,36,30.6,23,31,74.2,10,22,32,25,7,1,13,20
POR,L,100,37,92,40.2,12,33,36.4,14,17,82.4,6,34,40,23,6,3,6,18
PHX,W,106,38,79,48.1,11,30,36.7,19,27,70.4,6,42,48,21,7,7,18,26
ORL,W,113,42,88,47.7,10,28,35.7,19,30,63.3,11,30,41,23,15,3,17,19
WAS,L,107,39,85,45.9,13,27,48.1,16,23,69.6,5,35,40,28,7,4,19,26
ATL,W,124,43,80,53.8,14,35,40,24,29,82.8,8,38,46,24,6,3,21,29
UTA,W,120,43,94,45.7,19,50,38,15,19,78.9,12,47,59,24,3,3,11,16
TOR,L,99,38,89,42.7,14,46,30.4,9,12,75,7,28,35,26,10,5,20,22
MIA,L,107,42,83,50.6,7,20,35,16,19,84.2,7,36,43,25,11,2,22,21
MEM,L,119,49,95,51.6,10,27,37,11,18,61.1,5,37,42,27,6,8,11,20
CHI,L,104,36,87,41.4,8,35,22.9,24,28,85.7,8,29,37,20,10,3,15,22
SAC,W,124,45,102,44.1,10,31,32.3,24,31,77.4,18,36,54,27,5,7,14,29
MIN,W,111,38,88,43.2,11,41,26.8,24,28,85.7,12,36,48,25,6,5,11,16
DEN,L,122,47,98,48,8,29,27.6,20,24,83.3,10,36,46,28,6,11,15,25
BOS,W,122,48,101,47.5,18,40,45,8,11,72.7,10,27,37,23,8,6,6,17
IND,W,121,46,94,48.9,8,34,23.5,21,29,72.4,10,40,50,28,6,9,13,24
MIL,L,121,46,90,51.1,14,35,40,15,18,83.3,11,41,52,19,4,6,16,20
SAS,W,131,48,95,50.5,10,25,40,25,29,86.2,8,40,48,28,8,8,10,18
DET,L,101,45,93,48.4,8,35,22.9,3,8,37.5,7,37,44,29,5,2,12,20
NOP,W,113,42,80,52.5,19,42,45.2,10,20,50,8,37,45,30,13,7,24,17
DAL,L,102,36,85,42.4,9,37,24.3,21,26,80.8,6,33,39,17,6,0,11,23
NYK,L,107,39,85,45.9,12,28,42.9,17,23,73.9,5,35,40,25,8,8,16,27
CHA,L,114,45,90,50,16,44,36.4,8,15,53.3,8,24,32,29,10,4,15,17
PHI,W,113,41,87,47.1,8,28,28.6,23,30,76.7,10,37,47,22,11,8,16,25
CLE,W,121,46,87,52.9,14,30,46.7,15,20,75,10,40,50,34,12,3,18,22
LAC,W,116,44,93,47.3,14,40,35,14,19,73.7,11,29,40,22,10,3,16,29
BKN,W,125,42,92,45.7,15,35,42.9,26,32,81.3,13,44,57,24,11,7,20,22
LAL,L,109,38,81,46.9,9,29,31,24,31,77.4,8,37,45,22,4,2,19,20
GSW,L,99,37,99,37.4,10,33,30.3,15,23,65.2,13,34,47,26,6,6,18,24
WAS,W,99,38,89,42.7,13,44,29.5,10,16,62.5,4,41,45,24,14,3,17,14
MEM,L,116,34,85,40,19,48,39.6,29,39,74.4,10,33,43,21,11,8,21,31
ATL,W,117,35,83,42.2,11,37,29.7,36,43,83.7,8,39,47,24,8,1,18,28
DET,L,96,35,87,40.2,15,46,32.6,11,17,64.7,8,43,51,18,12,2,20,19
CHA,L,117,40,90,44.4,18,41,43.9,19,22,86.4,11,41,52,21,7,6,20,23
ORL,W,120,42,97,43.3,17,40,42.5,19,24,79.2,13,37,50,23,7,3,15,14
PHI,W,113,40,75,53.3,11,31,35.5,22,35,62.9,9,39,48,23,4,7,26,31
CLE,L,83,30,76,39.5,12,31,38.7,11,18,61.1,6,29,35,20,5,5,21,31
NOP,W,127,44,86,51.2,12,33,36.4,27,44,61.4,15,36,51,25,6,6,13,25
BKN,W,113,38,88,43.2,16,35,45.7,21,27,77.8,8,45,53,26,13,10,20,19
OKC,L,103,37,90,41.1,15,38,39.5,14,19,73.7,9,42,51,21,7,7,14,16
NYK,W,119,39,76,51.3,15,29,51.7,26,33,78.8,7,34,41,27,15,8,12,20
DEN,W,129,45,95,47.4,18,44,40.9,21,27,77.8,17,36,53,30,11,8,12,23
PHX,L,113,42,88,47.7,18,44,40.9,11,13,84.6,9,37,46,26,12,3,24,29
LAL,W,114,41,81,50.6,16,30,53.3,16,27,59.3,3,30,33,25,8,4,17,17
POR,L,96,33,89,37.1,10,33,30.3,20,23,87,11,31,42,17,3,1,15,24
IND,L,107,39,105,37.1,11,42,26.2,18,26,69.2,20,25,45,19,10,1,12,29
MIA,W,117,39,73,53.4,19,37,51.4,20,27,74.1,4,47,51,30,7,2,26,26
BOS,L,89,32,92,34.8,8,45,17.8,17,21,81,11,37,48,18,13,5,22,23
TOR,L,105,35,92,38,21,59,35.6,14,19,73.7,8,29,37,27,13,2,16,27
MIL,L,113,38,90,42.2,10,40,25,27,30,90,12,32,44,21,4,4,17,32
CHI,W,105,42,99,42.4,11,41,26.8,10,17,58.8,12,44,56,27,10,4,12,14
DAL,L,127,42,99,42.4,20,44,45.5,23,25,92,8,37,45,28,1,8,14,25
MEM,W,128,46,97,47.4,19,50,38,17,22,77.3,11,47,58,33,7,4,15,22
LAC,L,105,35,76,46.1,15,30,50,20,23,87,5,32,37,23,5,2,16,23
SAS,L,106,36,88,40.9,7,33,21.2,27,32,84.4,9,32,41,17,8,4,13,16
GSW,W,113,39,92,42.4,20,43,46.5,15,18,83.3,9,45,54,20,10,8,18,29
WAS,L,86,31,78,39.7,9,34,26.5,15,22,68.2,8,34,42,18,14,5,24,15
ATL,L,106,37,97,38.1,13,45,28.9,19,22,86.4,8,38,46,25,9,7,11,18
CHA,W,123,48,101,47.5,18,41,43.9,9,10,90,10,33,43,32,9,2,11,19
DET,W,97,39,79,49.4,12,30,40,7,12,58.3,4,38,42,20,13,2,24,21
ORL,L,115,46,97,47.4,12,37,32.4,11,12,91.7,13,40,53,26,8,6,19,16
SAC,L,105,35,94,37.2,7,30,23.3,28,37,75.7,9,42,51,22,9,7,16,19
MIN,W,129,46,98,46.9,14,36,38.9,23,29,79.3,12,43,55,27,7,10,15,30
HOU,W,128,49,93,52.7,17,43,39.5,13,14,92.9,5,37,42,26,9,3,11,22
UTA,W,125,45,91,49.5,24,52,46.2,11,15,73.3,7,33,40,38,6,3,9,21
DEN,W,126,45,86,52.3,19,46,41.3,17,23,73.9,11,44,55,39,6,9,23,22
LAL,W,112,39,82,47.6,10,25,40,24,32,75,8,39,47,20,6,3,14,24
CHI,W,124,52,96,54.2,11,33,33.3,9,14,64.3,9,52,61,26,5,7,21,24
NYK,W,100,38,83,45.8,8,34,23.5,16,21,76.2,6,32,38,28,9,8,13,16
PHX,L,107,35,86,40.7,13,42,31,24,30,80,11,34,45,26,9,2,17,30
CLE,L,93,33,82,40.2,13,26,50,14,18,77.8,12,32,44,23,7,6,22,22
POR,L,95,37,98,37.8,9,34,26.5,12,16,75,10,23,33,20,13,5,16,22
OKC,L,103,37,97,38.1,12,37,32.4,17,25,68,11,35,46,22,11,2,16,16
BOS,L,99,36,83,43.4,11,39,28.2,16,22,72.7,12,30,42,19,7,7,19,26
PHI,W,108,40,85,47.1,7,29,24.1,21,28,75,10,32,42,23,11,3,16,24
HOU,W,112,40,91,44,15,45,33.3,17,26,65.4,11,40,51,23,12,8,16,24
SAS,L,98,36,84,42.9,10,31,32.3,16,27,59.3,11,32,43,23,12,3,20,22
SAC,W,114,42,90,46.7,15,42,35.7,15,26,57.7,8,41,49,23,9,11,22,21
GSW,L,113,41,96,42.7,13,43,30.2,18,29,62.1,10,43,53,28,13,8,16,21
MEM,W,123,46,92,50,11,33,33.3,20,31,64.5,6,45,51,29,18,5,21,23
MIN,L,104,35,87,40.2,11,40,27.5,23,32,71.9,7,40,47,20,12,4,25,26
PHX,L,92,37,88,42,8,28,28.6,10,15,66.7,2,35,37,16,10,3,14,31
CLE,W,116,37,72,51.4,12,32,37.5,30,37,81.1,10,42,52,24,8,5,23,25
MIA,L,92,35,82,42.7,13,46,28.3,9,11,81.8,7,28,35,26,5,4,13,26
UTA,W,111,32,75,42.7,12,39,30.8,35,41,85.4,9,45,54,18,6,2,19,20
CHA,L,109,37,81,45.7,12,36,33.3,23,32,71.9,8,30,38,33,6,6,25,26
IND,L,106,41,91,45.1,17,40,42.5,7,13,53.8,6,27,33,26,9,2,12,30
TOR,W,112,40,84,47.6,15,44,34.1,17,23,73.9,7,30,37,23,13,3,22,31
DAL,W,128,44,95,46.3,22,46,47.8,18,26,69.2,12,37,49,22,4,2,9,18
MIL,L,112,43,86,50,12,33,36.4,14,23,60.9,6,36,42,29,6,9,13,28
NOP,W,114,38,85,44.7,12,38,31.6,26,31,83.9,15,36,51,20,9,3,11,13
DET,W,99,32,76,42.1,12,35,34.3,23,34,67.6,7,35,42,23,10,3,19,27
NYK,L,91,33,84,39.3,8,33,24.2,17,26,65.4,13,35,48,19,6,1,22,28
POR,L,106,36,90,40,12,30,40,22,27,81.5,11,31,42,19,11,5,11,29
LAC,L,106,39,84,46.4,11,35,31.4,17,24,70.8,7,27,34,27,4,4,11,24
WAS,L,114,42,97,43.3,14,37,37.8,16,22,72.7,13,34,47,26,8,1,15,33
HOU,L,91,30,87,34.5,12,47,25.5,19,22,86.4,9,38,47,15,9,7,18,23
ATL,W,116,38,89,42.7,17,43,39.5,23,34,67.6,12,49,61,27,4,1,18,25
ORL,L,107,41,102,40.2,11,36,30.6,14,21,66.7,9,43,52,23,10,5,10,27
LAL,W,131,46,81,56.8,18,25,72,21,31,67.7,9,36,45,28,10,3,13,25
SAC,W,121,38,88,43.2,14,49,28.6,31,40,77.5,10,40,50,27,7,2,12,22
CHI,W,104,37,94,39.4,14,40,35,16,23,69.6,15,42,57,26,8,5,17,17
BKN,W,119,38,74,51.4,14,30,46.7,29,45,64.4,5,36,41,23,5,6,15,20
MEM,W,107,40,94,42.6,11,40,27.5,16,23,69.6,12,37,49,30,7,10,14,23
UTA,W,119,41,82,50,17,41,41.5,20,27,74.1,7,38,45,21,8,3,16,22
SAS,L,108,38,101,37.6,15,38,39.5,17,25,68,11,34,45,23,11,6,10,23
DEN,L,105,40,93,43,7,25,28,18,25,72,12,36,48,20,11,3,17,31
TOR,W,111,37,90,41.1,19,52,36.5,18,28,64.3,4,42,46,27,16,8,17,31
IND,L,104,34,80,42.5,15,44,34.1,21,30,70,8,30,38,26,13,5,24,30
DAL,W,112,41,99,41.4,17,43,39.5,13,15,86.7,9,42,51,27,8,2,13,19
GSW,W,107,35,80,43.8,11,40,27.5,26,35,74.3,5,34,39,25,7,7,17,31
CHA,L,100,32,81,39.5,10,29,34.5,26,41,63.4,8,46,54,24,7,3,22,20
OKC,W,121,43,88,48.9,17,31,54.8,18,20,90,8,50,58,21,6,3,23,20
MIL,L,102,38,94,40.4,9,38,23.7,17,20,85,10,43,53,24,6,5,15,20
CLE,W,107,39,79,49.4,9,29,31,20,32,62.5,11,37,48,20,12,1,26,23
MIN,L,105,34,86,39.5,13,35,37.1,24,32,75,10,41,51,17,9,8,22,26
PHX,L,105,39,90,43.3,10,29,34.5,17,21,81,11,37,48,22,6,2,14,23
DET,L,84,26,80,32.5,10,39,25.6,22,25,88,10,31,41,17,12,3,22,18
NYK,W,90,38,83,45.8,5,23,21.7,9,19,47.4,13,41,54,23,12,6,24,28
LAL,W,87,30,84,35.7,7,22,31.8,20,25,80,7,39,46,15,12,1,17,14
SAC,L,102,35,95,36.8,16,50,32,16,22,72.7,11,33,44,24,12,5,17,24
LAC,L,81,30,84,35.7,10,36,27.8,11,17,64.7,11,44,55,15,7,10,25,26
ATL,L,112,34,92,37,10,32,31.3,34,41,82.9,19,42,61,20,8,4,23,25
HOU,W,125,43,99,43.4,24,52,46.2,15,21,71.4,10,37,47,25,11,9,5,28
CHI,L,104,33,80,41.3,11,34,32.4,27,37,73,14,42,56,20,3,5,20,19
ORL,W,116,42,92,45.7,12,42,28.6,20,29,69,10,39,49,26,10,8,15,28
POR,W,127,47,92,51.1,17,34,50,16,22,72.7,8,47,55,22,8,9,20,21
